 INFLUENZA PANDÊMICA - Sinan - Brasil
Freqüência por Município de notificação e Síndrome Gripal
Período:2009-2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"110004 CACOAL";2;-;-;2
"110006 COLORADO DO OESTE";-;1;-;1
"110010 GUAJARA-MIRIM";5;-;60;65
"110020 PORTO VELHO";62;4;39;105
"110148 SAO FELIPE D'OESTE";1;-;-;1
"120010 BRASILEIA";6;-;-;6
"120020 CRUZEIRO DO SUL";4;2;1;7
"120040 RIO BRANCO";211;13;44;268
"120070 XAPURI";3;-;-;3
"130170 HUMAITA";2;-;-;2
"130250 MANACAPURU";5;-;-;5
"130260 MANAUS";301;6;80;387
"130406 TABATINGA";5;-;-;5
"130420 TEFE";2;-;-;2
"140010 BOA VISTA";62;8;-;70
"150010 ABAETETUBA";-;-;4;4
"150060 ALTAMIRA";2;-;2;4
"150080 ANANINDEUA";156;1;71;228
"150120 BAIAO";-;-;1;1
"150130 BARCARENA";12;-;18;30
"150140 BELEM";1042;65;498;1605
"150150 BENEVIDES";3;-;2;5
"150170 BRAGANCA";-;-;6;6
"150180 BREVES";-;-;4;4
"150190 BUJARU";1;-;-;1
"150210 CAMETA";1;-;4;5
"150215 CANAA DOS CARAJAS";-;-;3;3
"150220 CAPANEMA";1;-;-;1
"150240 CASTANHAL";14;-;50;64
"150270 CONCEICAO DO ARAGUAIA";4;-;2;6
"150275 CONCORDIA DO PARA";-;1;-;1
"150290 CURUCA";-;-;18;18
"150330 IGARAPE-MIRI";-;-;3;3
"150345 IPIXUNA DO PARA";1;-;-;1
"150420 MARABA";-;-;2;2
"150442 MARITUBA";35;-;29;64
"150530 ORIXIMINA";-;-;8;8
"150550 PARAGOMINAS";-;-;1;1
"150553 PARAUAPEBAS";-;-;21;21
"150613 REDENCAO";7;-;4;11
"150618 RONDON DO PARA";-;-;1;1
"150620 SALINOPOLIS";7;-;-;7
"150635 SANTA BARBARA DO PARA";10;-;-;10
"150650 SANTA IZABEL DO PARA";2;-;2;4
"150680 SANTAREM";1;-;15;16
"150700 SANTO ANTONIO DO TAUA";2;-;1;3
"150795 TAILANDIA";3;-;3;6
"150800 TOME-ACU";-;-;2;2
"150808 TUCUMA";-;1;-;1
"150810 TUCURUI";3;-;34;37
"160030 MACAPA";26;4;34;64
"160060 SANTANA";2;-;-;2
"170210 ARAGUAINA";10;1;2;13
"170550 COLINAS DO TOCANTINS";-;1;-;1
"170820 FORMOSO DO ARAGUAIA";4;-;-;4
"170950 GURUPI";7;-;-;7
"171610 PARAISO DO TOCANTINS";1;-;-;1
"172100 PALMAS";43;24;14;81
"210005 ACAILANDIA";-;-;3;3
"210462 GOVERNADOR LUIZ ROCHA";-;-;1;1
"210530 IMPERATRIZ";1;-;5;6
"210910 PRESIDENTE DUTRA";-;-;15;15
"211130 SAO LUIS";66;43;88;197
"220190 BOM JESUS";-;-;11;11
"221100 TERESINA";224;24;135;383
"230110 ARACATI";-;-;2;2
"230370 CAUCAIA";-;-;2;2
"230440 FORTALEZA";141;46;66;253
