INTOXICAÇÃO EXÓGENA - Notificações registradas no Sinan Net - Brasil
Notificações por Município de residência e Agente Tóxico
Agente Tóxico: Agrotóxico agrícola, Agrotóxico doméstico, Agrotóxico saúde pública, Raticida, Prod. químico, Metal
Período:2007-2023
"Município de residência";"Agrotóxico agrícola";"Agrotóxico doméstico";"Agrotóxico saúde pública";"Raticida";"Prod. químico";"Metal";"Total"
"110001 ALTA FLORESTA D'OESTE";109;16;3;22;11;-;161
"110002 ARIQUEMES";44;32;1;68;30;2;177
"110003 CABIXI";3;-;-;1;-;-;4
"110004 CACOAL";96;16;2;36;22;-;172
"110005 CEREJEIRAS";13;1;-;7;3;-;24
"110006 COLORADO DO OESTE";15;3;-;2;-;-;20
"110007 CORUMBIARA";4;-;-;-;-;-;4
"110008 COSTA MARQUES";5;-;-;4;-;-;9
"110009 ESPIGAO D'OESTE";25;5;1;6;27;-;64
"110010 GUAJARA-MIRIM";7;3;-;3;3;-;16
"110011 JARU";28;8;-;13;8;1;58
"110012 JI-PARANA";110;36;13;53;19;3;234
"110013 MACHADINHO D'OESTE";9;5;-;7;3;-;24
"110014 NOVA BRASILANDIA D'OESTE";98;10;-;8;3;-;119
"110015 OURO PRETO DO OESTE";9;4;-;4;4;-;21
"110018 PIMENTA BUENO";19;4;-;9;39;-;71
"110020 PORTO VELHO";30;25;25;115;48;1;244
"110025 PRESIDENTE MEDICI";12;-;-;4;3;-;19
"110026 RIO CRESPO";5;1;-;-;-;-;6
"110028 ROLIM DE MOURA";92;22;2;29;32;1;178
"110029 SANTA LUZIA D'OESTE";48;5;1;5;1;-;60
"110030 VILHENA";165;58;6;120;42;5;396
"110032 SAO MIGUEL DO GUAPORE";35;12;-;3;6;-;56
"110033 NOVA MAMORE";20;3;-;2;1;-;26
"110034 ALVORADA D'OESTE";32;2;-;13;1;-;48
"110037 ALTO ALEGRE DOS PARECIS";50;3;-;3;2;-;58
"110040 ALTO PARAISO";21;4;-;4;2;-;31
"110045 BURITIS";65;14;7;19;1;1;107
"110050 NOVO HORIZONTE DO OESTE";16;1;-;2;-;-;19
"110060 CACAULANDIA";4;4;-;3;1;-;12
"110070 CAMPO NOVO DE RONDONIA";13;4;-;2;2;-;21
"110080 CANDEIAS DO JAMARI";3;-;-;3;1;-;7
"110090 CASTANHEIRAS";11;3;-;2;2;-;18
"110092 CHUPINGUAIA";12;-;-;6;1;-;19
"110094 CUJUBIM";15;1;-;4;1;-;21
"110100 GOVERNADOR JORGE TEIXEIRA";4;-;-;1;2;-;7
"110110 ITAPUA DO OESTE";14;2;-;6;5;-;27
"110120 MINISTRO ANDREAZZA";11;-;1;1;1;-;14
"110130 MIRANTE DA SERRA";21;4;-;2;7;-;34
"110140 MONTE NEGRO";49;29;-;7;7;-;92
"110143 NOVA UNIAO";15;1;-;2;-;-;18
"110145 PARECIS";17;2;-;1;-;-;20
"110146 PIMENTEIRAS DO OESTE";4;-;-;-;1;-;5
"110147 PRIMAVERA DE RONDONIA";17;2;-;4;2;-;25
"110148 SAO FELIPE D'OESTE";4;-;-;1;-;-;5
"110149 SAO FRANCISCO DO GUAPORE";70;15;2;19;5;-;111
"110150 SERINGUEIRAS";11;2;-;-;-;-;13
"110155 TEIXEIROPOLIS";5;1;-;-;-;-;6
"110160 THEOBROMA";4;-;-;-;1;-;5
"110170 URUPA";22;2;-;-;-;-;24
"110175 VALE DO ANARI";8;1;-;1;-;-;10
"110180 VALE DO PARAISO";6;-;-;1;-;1;8
"120001 ACRELANDIA";20;1;-;3;1;-;25
"120010 BRASILEIA";33;7;-;8;23;-;71
"120013 BUJARI";1;4;-;4;-;1;10
"120017 CAPIXABA";5;1;-;1;-;-;7
"120020 CRUZEIRO DO SUL";6;9;1;22;10;-;48
"120025 EPITACIOLANDIA";10;1;-;3;13;1;28
"120030 FEIJO";1;1;-;1;2;-;5
"120034 MANOEL URBANO";7;1;-;-;-;-;8
"120035 MARECHAL THAUMATURGO";1;-;-;1;-;-;2
"120038 PLACIDO DE CASTRO";10;7;-;6;4;-;27
"120040 RIO BRANCO";63;37;4;105;71;3;283
"120042 RODRIGUES ALVES";1;1;-;5;1;-;8
"120043 SANTA ROSA DO PURUS";-;1;-;-;-;-;1
"120045 SENADOR GUIOMARD";43;6;1;7;7;1;65
"120050 SENA MADUREIRA";13;4;1;6;5;-;29
"120060 TARAUACA";-;-;-;-;2;-;2
"120070 XAPURI";16;7;1;3;3;-;30
"120080 PORTO ACRE";6;2;-;1;-;-;9
"130002 ALVARAES";-;-;3;2;11;1;17
"130014 APUI";102;33;2;10;6;-;153
"130020 ATALAIA DO NORTE";-;-;-;1;2;-;3
"130030 AUTAZES";-;-;-;-;4;-;4
"130050 BARREIRINHA";-;-;-;1;1;-;2
"130060 BENJAMIN CONSTANT";2;2;-;12;1;-;17
"130063 BERURI";-;1;-;-;-;-;1
"130068 BOA VISTA DO RAMOS";-;-;-;-;1;-;1
"130070 BOCA DO ACRE";2;-;-;1;-;-;3
"130080 BORBA";2;1;-;2;1;-;6
"130090 CANUTAMA";1;-;-;-;6;-;7
"130100 CARAUARI";1;2;2;1;1;-;7
"130110 CAREIRO";-;1;-;1;-;-;2
"130115 CAREIRO DA VARZEA";2;-;-;-;-;-;2
"130130 CODAJAS";-;1;-;-;-;-;1
"130140 EIRUNEPE";2;-;-;3;1;-;6
"130150 ENVIRA";-;-;15;1;-;-;16
"130165 GUAJARA";1;1;-;1;-;-;3
"130170 HUMAITA";3;1;1;3;2;8;18
"130180 IPIXUNA";1;-;-;-;-;-;1
"130185 IRANDUBA";38;6;-;1;45;-;90
"130190 ITACOATIARA";20;56;5;60;60;2;203
"130200 ITAPIRANGA";-;-;-;1;-;-;1
"130240 LABREA";2;-;-;1;2;-;5
"130250 MANACAPURU";10;12;-;16;11;1;50
"130260 MANAUS";11;64;3;146;173;6;403
"130270 MANICORE";2;1;-;1;-;-;4
"130290 MAUES";-;1;-;-;1;-;2
"130300 NHAMUNDA";-;1;-;-;-;-;1
"130310 NOVA OLINDA DO NORTE";-;-;-;-;1;-;1
"130320 NOVO AIRAO";2;-;-;1;-;-;3
"130330 NOVO ARIPUANA";6;2;-;-;-;-;8
"130340 PARINTINS";9;9;-;11;6;-;35
"130353 PRESIDENTE FIGUEIREDO";4;3;-;2;-;-;9
"130356 RIO PRETO DA EVA";4;1;-;7;4;1;17
"130400 SILVES";1;-;-;-;-;-;1
"130406 TABATINGA";8;2;-;13;4;1;28
"130420 TEFE";6;6;1;14;2;-;29
"130426 UARINI";-;-;-;1;-;-;1
"130430 URUCARA";-;-;-;-;1;-;1
"130440 URUCURITUBA";1;1;-;-;-;-;2
"140002 AMAJARI";4;-;2;4;1;1;12
"140005 ALTO ALEGRE";18;4;10;7;6;31;76
"140010 BOA VISTA";51;86;60;303;190;3;693
"140015 BONFIM";11;2;2;-;1;-;16
"140017 CANTA";9;1;-;8;4;-;22
"140020 CARACARAI";9;7;2;11;6;-;35
"140023 CAROEBE";35;5;1;2;-;-;43
"140028 IRACEMA";6;2;-;3;1;73;85
"140030 MUCAJAI";20;2;1;7;6;-;36
"140040 NORMANDIA";-;3;-;-;1;-;4
"140045 PACARAIMA";5;1;-;2;2;1;11
"140047 RORAINOPOLIS";30;3;-;11;6;-;50
"140050 SAO JOAO DA BALIZA";10;9;12;7;2;-;40
"140060 SAO LUIZ";3;-;-;2;2;-;7
"150010 ABAETETUBA";5;1;6;8;31;3;54
"150013 ABEL FIGUEIREDO";2;1;-;-;1;-;4
"150020 ACARA";18;-;-;2;1;-;21
"150030 AFUA";1;-;2;1;2;-;6
"150034 AGUA AZUL DO NORTE";7;2;-;-;2;-;11
"150040 ALENQUER";2;-;-;-;-;-;2
"150050 ALMEIRIM";-;-;-;-;1;-;1
"150060 ALTAMIRA";9;4;1;15;4;1;34
"150080 ANANINDEUA";2;1;1;8;5;-;17
"150085 ANAPU";1;1;-;-;1;-;3
"150090 AUGUSTO CORREA";2;-;-;1;2;-;5
"150095 AURORA DO PARA";2;-;-;-;-;-;2
"150100 AVEIRO";-;-;-;1;-;-;1
"150110 BAGRE";-;-;1;-;-;-;1
"150120 BAIAO";1;-;-;2;-;-;3
"150125 BANNACH";20;4;-;1;3;-;28
"150130 BARCARENA";-;-;10;1;208;-;219
"150140 BELEM";17;5;3;135;39;4;203
"150145 BELTERRA";50;1;-;-;7;-;58
"150150 BENEVIDES";1;-;-;-;7;-;8
"150157 BOM JESUS DO TOCANTINS";-;2;-;1;-;-;3
"150160 BONITO";24;1;-;1;-;-;26
"150170 BRAGANCA";4;2;-;13;3;-;22
"150172 BRASIL NOVO";44;5;-;3;2;-;54
"150175 BREJO GRANDE DO ARAGUAIA";4;-;-;-;-;-;4
"150178 BREU BRANCO";9;3;1;4;2;-;19
"150180 BREVES";-;1;2;1;-;-;4
"150190 BUJARU";4;-;-;1;-;-;5
"150200 CACHOEIRA DO ARARI";-;-;-;-;1;-;1
"150210 CAMETA";1;1;-;1;2;-;5
"150215 CANAA DOS CARAJAS";3;4;-;7;4;-;18
"150220 CAPANEMA";6;5;-;9;3;-;23
"150230 CAPITAO POCO";4;2;-;5;-;-;11
"150240 CASTANHAL";17;16;-;23;21;2;79
"150250 CHAVES";1;3;-;-;-;-;4
"150260 COLARES";-;-;1;-;-;-;1
"150270 CONCEICAO DO ARAGUAIA";19;20;5;7;26;-;77
"150275 CONCORDIA DO PARA";2;-;-;-;1;-;3
"150276 CUMARU DO NORTE";1;-;1;-;-;-;2
"150277 CURIONOPOLIS";3;1;-;1;-;1;6
"150280 CURRALINHO";-;1;-;-;-;-;1
"150285 CURUA";2;-;-;-;-;-;2
"150290 CURUCA";8;3;-;2;4;-;17
