 INFLUENZA PANDÊMICA - Sinan - Brasil
Freqüência por Município de notificação
Classif. Final: Confirmado
Período:2009-2010
"Município de notificação";"Freqüência"
"110010 GUAJARA-MIRIM";4
"110020 PORTO VELHO";42
"120010 BRASILEIA";5
"120020 CRUZEIRO DO SUL";1
"120040 RIO BRANCO";108
"120070 XAPURI";1
"130170 HUMAITA";2
"130250 MANACAPURU";5
"130260 MANAUS";172
"130406 TABATINGA";3
"130420 TEFE";2
"140010 BOA VISTA";22
"150010 ABAETETUBA";1
"150080 ANANINDEUA";97
"150130 BARCARENA";11
"150140 BELEM";549
"150170 BRAGANCA";3
"150180 BREVES";2
"150190 BUJARU";1
"150210 CAMETA";2
"150215 CANAA DOS CARAJAS";1
"150240 CASTANHAL";31
"150270 CONCEICAO DO ARAGUAIA";2
"150290 CURUCA";10
"150330 IGARAPE-MIRI";2
"150442 MARITUBA";19
"150530 ORIXIMINA";2
"150553 PARAUAPEBAS";9
"150613 REDENCAO";7
"150618 RONDON DO PARA";1
"150620 SALINOPOLIS";5
"150635 SANTA BARBARA DO PARA";3
"150650 SANTA IZABEL DO PARA";1
"150680 SANTAREM";6
"150700 SANTO ANTONIO DO TAUA";2
"150795 TAILANDIA";2
"150800 TOME-ACU";1
"150810 TUCURUI";13
"160030 MACAPA";15
"160060 SANTANA";1
"170210 ARAGUAINA";10
"170550 COLINAS DO TOCANTINS";1
"170820 FORMOSO DO ARAGUAIA";4
"170950 GURUPI";6
"172100 PALMAS";33
"210005 ACAILANDIA";2
"210530 IMPERATRIZ";4
"210910 PRESIDENTE DUTRA";7
"211130 SAO LUIS";105
"220190 BOM JESUS";11
"221100 TERESINA";88
"230370 CAUCAIA";1
"230440 FORTALEZA";72
"231130 QUIXADA";2
"240200 CAICO";2
"240325 PARNAMIRIM";17
"240580 JOAO CAMARA";2
"240800 MOSSORO";8
"240810 NATAL";237
"241120 SANTA CRUZ";2
"241150 SANTO ANTONIO";1
"250370 CAJAZEIRAS";1
"250400 CAMPINA GRANDE";4
"250750 JOAO PESSOA";19
"251370 SANTA RITA";1
"260140 BARREIROS";1
"260410 CARUARU";4
"260600 GARANHUNS";1
"260790 JABOATAO DOS GUARARAPES";1
"260960 OLINDA";4
"261160 RECIFE";180
"270430 MACEIO";42
"280030 ARACAJU";25
"290070 ALAGOINHAS";2
"290320 BARREIRAS";1
"290390 BOM JESUS DA LAPA";1
"290810 COCOS";1
"291010 DOM BASILIO";1
"291060 ESPLANADA";1
"291080 FEIRA DE SANTANA";18
"291170 GUANAMBI";10
"291340 IGAPORA";2
"291480 ITABUNA";8
"291733 IUIU";1
