COD_MUNIC;NOTIFICACOES
110004;2
110005;1
110020;1
110029;1
110148;1
120038;1
130160;6
130260;4
130330;2
130353;1
130420;3
140010;9
150060;11
150140;3
150442;1
150550;1
150680;1
170210;1
170510;1
170560;1
171370;1
171820;2
172100;25
172120;1
210455;1
210530;1
210660;1
210735;1
211130;2
220220;1
220270;1
220390;1
221063;3
221100;1
230110;3
230170;1
230350;1
230440;6
230500;1
230523;1
230530;1
230730;3
230780;1
230860;1
230920;1
231290;2
231340;8
231360;5
231410;2
240010;1
240200;27
240240;3
240300;1
240340;6
240350;1
240800;4
240810;38
241180;1
250320;1
250400;4
250750;4
251080;1
251110;9
260290;2
260620;1
260700;1
260775;1
261160;63
261640;1
270030;2
270430;2
270620;1
270860;1
280030;3
290170;1
290370;1
290395;27
290450;4
290520;3
290570;3
290580;1
290840;3
291020;1
291080;9
291250;3
291470;6
291480;2
291750;16
291800;1
291840;1
291920;1
292110;1
292303;47
292510;11
292575;1
292700;1
292740;96
292800;1
292870;1
293060;1
293330;23
310190;48
310260;8
310350;4
310480;2
310490;17
310510;1
310560;3
310620;499
310630;2
310670;32
310690;2
310730;1
310750;1
311030;1
311060;1
311120;1
311230;1
311250;2
311400;2
311550;3
311760;3
311787;1
311800;2
311830;2
311840;2
311860;30
311890;1
311930;1
312080;5
312090;14
312220;1
312310;4
312380;1
312410;2
312570;1
312610;1
312640;1
312670;2
312770;21
312810;16
312825;2
312850;1
312940;1
312980;1
313010;1
313020;1
313110;1
313115;1
313130;6
313170;2
313190;1
313210;1
313270;1
313370;1
313410;1
313535;1
313540;1
313640;10
313652;1
313670;18
313870;4
313970;1
314000;5
314070;2
314110;2
314140;5
314330;1
314345;1
314470;2
314480;948
314535;1
314610;3
314690;17
314710;4
314740;7
314790;48
314860;1
314930;14
315110;1
315150;1
315180;5
315250;1
315330;1
315390;5
315430;2
315460;11
315480;2
315670;5
315700;3
315720;1
315733;2
315900;1
316040;1
316110;1
316250;1
316294;2
316295;1
316300;1
316447;1
316520;10
316720;13
316860;2
316930;21
316935;1
316990;1
317010;6
317057;3
317070;1
317080;3
317160;4
320090;2
320120;5
320150;1
320425;1
320530;118
330010;13
330045;1
330100;3
330170;8
330190;1
330200;1
330220;5
330250;2
330330;3
330452;1
330455;95
330490;1
330630;1
350160;2
350190;2
350275;1
350280;1
350320;1
350410;3
350600;1
350750;4
350950;1207
351040;28
351340;2
351380;1
351640;4
351880;3
352050;2
352240;15
352260;18
352390;1
352590;15
352610;1
353070;20
353282;3
353440;59
353620;3
353670;1
353870;6
354210;1
354260;4
354340;4
354390;63
354580;1
354670;14
354780;13
354870;10
354880;501
354910;1
354980;1
354990;17
355030;382
355220;16
410040;1
410160;1
410180;2
410290;1
410305;1
410400;2
410420;1
410480;1
410490;1
410550;1
410610;1
410690;218
410725;1
410765;1
410840;1
411020;1
411070;1
411370;12
411520;1
411570;2
411820;1
411915;3
411930;4
411950;1
411990;4
412080;3
412120;1
412230;1
412405;1
412570;1
412610;2
412625;1
412700;1
420420;2
420540;21
420900;1
420910;53
421660;1
421740;1
421950;1
430040;1
430064;212
430160;1
430310;1
430420;1
430510;1
430607;20
430780;1
430850;11
430960;1
431020;1
431040;1
431050;6
431180;2
431344;1
431490;27
431590;12
431640;1
431760;4
431960;2
432000;1
432020;2
432080;37
432135;1
432145;1
500110;2
500190;1
500270;7
500290;1
500315;1
500320;2
500370;3
500570;1
510190;1
510340;3
510410;1
510642;2
510650;2
510704;3
520110;5
520140;1
520495;2
520540;12
520640;1
520870;80
520920;1
521090;2
521190;1
521250;5
521690;3
521730;3
521970;1
522020;1
530010;11
