NOME_ESTACAO;CH_MED;CH_DP;CH4_MED;CH4_DP;CO_MED;CO_DP;DV_MED;DV_DP;ERT_MED;ERT_DP;H2S_MED;H2S_DP;HCT_MED;HCT_DP;HCNM_MED;HCNM_DP;IQAR_MED;IQAR_DP;MP10_MED;MP10_DP;MP2.5_MED;MP2.5_DP;NH3_MED;NH3_DP;NO_MED;NO_DP;NO2_MED;NO2_DP;NOX_MED;NOX_DP;O3_MED;O3_DP;PRESS_MED;PRESS_DP;PTS_MED;PTS_DP;RAD_MED;RAD_DP;SO2_MED;SO2_DP;TEMP_MED;TEMP_DP;U_MED;U_DP;UR_MED;UR_DP;VV_MED;VV_DP
BARRA LONGA CENTRO;;;;;;;;;;;;;;;;;22.5995;23.6924;35.8378;28.8916;11.8577;52.4523;;;;;;;;;;;;;78.4027;73.8581;;;;;;;;;;;;
COMUNIDADE DO FEIJÃO;;;;;;;;;;;;;;;;;12.9287;16.2627;24.5816;24.5674;4.15973;7.97959;;;;;;;;;;;;;45.4283;46.3288;;;;;;;;;;;;
GESTEIRA;;;;;;;;;;;;;;;;;12.7651;8.61822;18.2847;28.3255;6.59263;9.80292;;;;;;;;;;;;;;;;;;;;;;;;;;
MATRIZ;;;;;;;;;;;;;;;;;16.6003;11.652;36.262;26.654;15.3318;20.0771;;;;;;;;;;;;;34.4048;23.4217;;;;;;;;;;;;
MOTAS;;;;;;;;;;;;;;;;;28.3387;19.4522;26.9772;19.7232;;;;;;;;;;;;;;;51.571;36.9519;;;;;;;;;;;;
NOVO SOBERBO;;;;;;;;;;;;;;;;;9.6338;11.4976;20.068;24.1608;6.92399;6.96536;;;;;;;;;;;;;;;;;;;;;;;;;;
PARACATU DE BAIXO;;;;;;;;;;;;;;;;;16.8327;17.4626;22.9759;26.4627;10.5913;14.268;;;;;;;;;;;;;;;;;;;;;;;;;;
PIRES;;;;;;;;;;;;;;;;;39.8748;30.7188;41.6687;57.3695;;;;;;;;;;;;;;;75.1536;60.8464;;;;;;;;;;;;
RIO DOCE;;;;;;;;;;;;;;;;;14.6061;11.3756;20.7175;24.236;9.93937;13.3774;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTANA DO DESERTO;;;;;;;;;;;;;;;;;11.8437;9.84627;21.9113;26.0868;6.80919;9.97184;;;;;;;;;;;;;;;;;;;;;;;;;;
VOLTA DA CAPELA;;;;;;;;;;;;;;;;;23.1312;26.7728;34.2349;38.5991;24.1862;119.415;;;;;;;;;;;;;61.5305;69.6604;;;;;;;;;;;;
AREIAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AEROPORTO CMD;;;;;;;;;;;;;;;;;19.7157;20.9693;59.895;173.623;63.1452;225.791;;;;;;;;;;;;;84.5155;188.541;;;;;;;;;;;;
ALTEROSA;;;;;0.245443;0.307573;;;;;;;;;;;11.7182;14.2687;24.8571;28.4527;59.44;189.274;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICANA;;;;;;;;;;;;;;;;;31.1228;13.975;35.5866;14.56;;;;;;;;;;;27.8444;12.5563;;;;;;;;;;;;;;;;
ARARAQUARA;;;;;;;;;;;;;;;;;30.5615;14.6306;33.7037;14.3739;;;;;;;89.6667;54.9201;;;26.5261;13.7361;;;;;;;;;;;;;;;;
ARAÇATUBA;;;;;;;;;;;;;;;;;25.1905;11.1798;28.7733;12.3619;;;;;;;;;;;21.2459;8.0409;;;;;;;;;;;;;;;;
BANGU;;;;;;;179.725;74.0335;;;;;;;;;27.9393;25.1956;37.5272;22.2412;;;;;4.12725;8.63255;23.1854;16.6034;27.5289;24.6947;41.4502;29.3577;1.34977;0.00587211;;;159.194;236.248;5.76995;3.10242;24.4806;6.74122;;;72.7893;24.7432;0.764923;1.04424
BASÍLICA;;;;;;;;;;;;;;;;;18.7875;18.6805;25.8951;61.9174;17.322;74.5653;;;3.25986;6.88934;12.8089;9.17846;16.0735;13.0771;43.0054;22.2554;;;39.6543;64.802;;;3.99418;3.74989;;;;;;;;
BAURU;;;;;;;;;;;;;;;;;22.895;11.0502;26.206;12.5655;;;;;;;6.875;4.09077;;;19.4971;7.80468;;;;;;;;;;;;;;;;
BOM RETIRO;;;;;0.298416;0.183218;;;;;;;;;;;10.5319;11.8668;21.2321;10.2678;53.405;200.865;;;;;;;;;;;;;42.4259;20.9702;;;;;;;;;;;;
