MENINGITE - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação
Período:2007-2023
"Município de notificação";"Casos_confirmados"
"110001 ALTA FLORESTA D'OESTE";3
"110002 ARIQUEMES";8
"110004 CACOAL";267
"110005 CEREJEIRAS";2
"110006 COLORADO DO OESTE";1
"110009 ESPIGAO D'OESTE";23
"110010 GUAJARA-MIRIM";2
"110011 JARU";4
"110012 JI-PARANA";23
"110013 MACHADINHO D'OESTE";2
"110015 OURO PRETO DO OESTE";25
"110018 PIMENTA BUENO";6
"110020 PORTO VELHO";687
"110028 ROLIM DE MOURA";7
"110029 SANTA LUZIA D'OESTE";2
"110030 VILHENA";43
"110032 SAO MIGUEL DO GUAPORE";1
"110034 ALVORADA D'OESTE";4
"110050 NOVO HORIZONTE DO OESTE";2
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110120 MINISTRO ANDREAZZA";1
"110130 MIRANTE DA SERRA";1
"110149 SAO FRANCISCO DO GUAPORE";1
"110160 THEOBROMA";1
"120001 ACRELANDIA";1
"120005 ASSIS BRASIL";1
"120010 BRASILEIA";3
"120020 CRUZEIRO DO SUL";61
"120025 EPITACIOLANDIA";1
"120030 FEIJO";4
"120032 JORDAO";1
"120033 MANCIO LIMA";4
"120039 PORTO WALTER";1
"120040 RIO BRANCO";283
"120042 RODRIGUES ALVES";1
"120043 SANTA ROSA DO PURUS";1
"120060 TARAUACA";1
"130002 ALVARAES";1
"130006 AMATURA";1
"130010 ANORI";1
"130014 APUI";1
"130020 ATALAIA DO NORTE";2
"130030 AUTAZES";3
"130040 BARCELOS";2
"130060 BENJAMIN CONSTANT";5
"130063 BERURI";1
"130070 BOCA DO ACRE";1
"130080 BORBA";1
"130100 CARAUARI";2
"130110 CAREIRO";1
"130115 CAREIRO DA VARZEA";1
"130120 COARI";9
"130130 CODAJAS";1
"130140 EIRUNEPE";9
"130150 ENVIRA";4
"130160 FONTE BOA";2
"130165 GUAJARA";2
"130170 HUMAITA";4
"130185 IRANDUBA";2
"130190 ITACOATIARA";1
"130195 ITAMARATI";1
"130210 JAPURA";1
"130220 JURUA";1
"130240 LABREA";7
"130250 MANACAPURU";3
"130260 MANAUS";2589
"130270 MANICORE";1
"130280 MARAA";1
"130290 MAUES";6
"130310 NOVA OLINDA DO NORTE";3
"130320 NOVO AIRAO";3
"130330 NOVO ARIPUANA";1
"130340 PARINTINS";19
"130350 PAUINI";3
"130356 RIO PRETO DA EVA";3
"130360 SANTA ISABEL DO RIO NEGRO";2
"130380 SAO GABRIEL DA CACHOEIRA";8
"130395 SAO SEBASTIAO DO UATUMA";1
"130406 TABATINGA";18
"130410 TAPAUA";3
"130420 TEFE";10
"140010 BOA VISTA";371
"150010 ABAETETUBA";8
"150020 ACARA";7
"150030 AFUA";1
"150040 ALENQUER";5
"150050 ALMEIRIM";1
"150060 ALTAMIRA";154
"150070 ANAJAS";7
"150080 ANANINDEUA";17
"150090 AUGUSTO CORREA";2
"150095 AURORA DO PARA";3
"150110 BAGRE";2
"150120 BAIAO";1
"150130 BARCARENA";32
"150140 BELEM";5631
"150145 BELTERRA";1
"150150 BENEVIDES";5
"150170 BRAGANCA";10
"150172 BRASIL NOVO";2
"150178 BREU BRANCO";1
"150180 BREVES";51
"150210 CAMETA";34
"150215 CANAA DOS CARAJAS";6
"150220 CAPANEMA";11
"150240 CASTANHAL";18
"150250 CHAVES";2
"150260 COLARES";5
"150270 CONCEICAO DO ARAGUAIA";5
"150280 CURRALINHO";6
"150295 ELDORADO DOS CARAJAS";1
"150304 FLORESTA DO ARAGUAIA";2
"150307 GARRAFAO DO NORTE";1
"150345 IPIXUNA DO PARA";1
"150360 ITAITUBA";10
"150370 ITUPIRANGA";4
"150375 JACAREACANGA";4
"150390 JURUTI";2
"150400 LIMOEIRO DO AJURU";4
"150420 MARABA";115
"150440 MARAPANIM";2
"150442 MARITUBA";10
"150445 MEDICILANDIA";3
"150460 MOCAJUBA";2
"150470 MOJU";5
"150480 MONTE ALEGRE";4
"150490 MUANA";19
"150497 NOVA IPIXUNA";1
"150503 NOVO PROGRESSO";14
"150510 OBIDOS";3
"150520 OEIRAS DO PARA";2
"150530 ORIXIMINA";17
"150543 OURILANDIA DO NORTE";7
"150548 PACAJA";2
"150550 PARAGOMINAS";31
"150553 PARAUAPEBAS";72
"150580 PORTEL";1
"150611 QUATIPURU";1
"150613 REDENCAO";121
"150616 RIO MARIA";2
"150650 SANTA IZABEL DO PARA";5
"150658 SANTA MARIA DAS BARREIRAS";1
"150670 SANTANA DO ARAGUAIA";4
"150680 SANTAREM";173
"150720 SAO DOMINGOS DO CAPIM";9
"150730 SAO FELIX DO XINGU";16
"150740 SAO FRANCISCO DO PARA";1
"150745 SAO GERALDO DO ARAGUAIA";3
"150747 SAO JOAO DE PIRABAS";4
"150770 SAO SEBASTIAO DA BOA VISTA";6
"150790 SOURE";1
"150795 TAILANDIA";17
"150797 TERRA SANTA";1
"150800 TOME-ACU";12
"150803 TRACUATEUA";1
"150808 TUCUMA";4
"150810 TUCURUI";114
"150812 ULIANOPOLIS";3
"150815 URUARA";2
"150820 VIGIA";3
"150830 VISEU";3
"150835 VITORIA DO XINGU";6
"150840 XINGUARA";11
"160027 LARANJAL DO JARI";10
"160030 MACAPA";211
"160060 SANTANA";3
"170210 ARAGUAINA";604
"170240 ARRAIAS";1
"170255 AUGUSTINOPOLIS";14
"170384 CAMPOS LINDOS";1
"170550 COLINAS DO TOCANTINS";7
"170700 DIANOPOLIS";8
"170830 GOIANORTE";1
"170930 GUARAI";6
"170950 GURUPI";74
"170980 IPUEIRAS";1
"171050 ITACAJA";1
"171070 ITAGUATINS";1
"171245 LUZINOPOLIS";1
"171320 MIRACEMA DO TOCANTINS";1
"171500 NOVA ROSALANDIA";1
"171550 OLIVEIRA DE FATIMA";1
"171610 PARAISO DO TOCANTINS";17
"171630 PAU D'ARCO";1
"171700 PINDORAMA DO TOCANTINS";1
"171820 PORTO NACIONAL";12
"171845 PUGMIL";1
"172015 SAO FELIX DO TOCANTINS";1
"172080 SITIO NOVO DO TOCANTINS";1
"172085 SUCUPIRA";1
"172090 TAGUATINGA";2
"172100 PALMAS";281
"172120 TOCANTINOPOLIS";1
"172208 WANDERLANDIA";1
"172210 XAMBIOA";1
"210005 ACAILANDIA";8
"210015 AGUA DOCE DO MARANHAO";1
"210030 ALDEIAS ALTAS";1
"210050 ALTO PARNAIBA";1
"210060 AMARANTE DO MARANHAO";1
"210070 ANAJATUBA";2
"210080 ANAPURUS";2
"210095 ARAME";1
"210120 BACABAL";5
"210140 BALSAS";59
"210150 BARAO DE GRAJAU";1
"210160 BARRA DO CORDA";14
"210170 BARREIRINHAS";11
"210180 BENEDITO LEITE";1
"210193 BERNARDO DO MEARIM";1
"210200 BOM JARDIM";1
"210220 BURITI";1
"210232 BURITICUPU";2
"210250 CAJARI";1
"210255 CAMPESTRE DO MARANHAO";1
"210260 CANDIDO MENDES";1
"210270 CANTANHEDE";1
"210280 CAROLINA";1
"210300 CAXIAS";47
"210320 CHAPADINHA";4
"210325 CIDELANDIA";1
"210330 CODO";13
"210340 COELHO NETO";10
"210350 COLINAS";1
"210360 COROATA";18
"210370 CURURUPU";1
"210375 DAVINOPOLIS";2
"210400 ESPERANTINOPOLIS";3
"210405 ESTREITO";2
"210408 FERNANDO FALCAO";1
"210409 FORMOSA DA SERRA NEGRA";3
"210467 GOVERNADOR NUNES FREIRE";1
"210480 GRAJAU";6
"210520 IGARAPE GRANDE";2
"210530 IMPERATRIZ";181
"210540 ITAPECURU MIRIM";4
"210560 JOSELANDIA";1
"210600 LIMA CAMPOS";1
"210610 LORETO";1
"210640 MATA ROMA";1
"210650 MATINHA";2
"210663 MATOES DO NORTE";1
"210670 MIRADOR";2
"210690 MONCAO";6
"210710 MORROS";1
"210750 PACO DO LUMIAR";4
"210780 PARNARAMA";4
"210805 PAULINO NEVES";1
"210810 PAULO RAMOS";1
"210820 PEDREIRAS";6
"210845 PERITORO";2
"210860 PINHEIRO";10
"210910 PRESIDENTE DUTRA";49
"210923 PRESIDENTE MEDICI";1
"210930 PRESIDENTE VARGAS";1
"210945 RAPOSA";1
"210950 RIACHAO";1
"210970 SAMBAIBA";6
"210990 SANTA INES";6
"211000 SANTA LUZIA";1
"211027 SANTO AMARO DO MARANHAO";1
"211060 SAO BERNARDO";1
"211070 SAO DOMINGOS DO MARANHAO";2
"211080 SAO FELIX DE BALSAS";1
"211100 SAO JOAO BATISTA";1
"211105 SAO JOAO DO PARAISO";1
"211110 SAO JOAO DOS PATOS";1
"211120 SAO JOSE DE RIBAMAR";9
"211130 SAO LUIS";1481
"211160 SAO RAIMUNDO DAS MANGABEIRAS";6
"211210 TIMBIRAS";6
"211220 TIMON";18
"211230 TUNTUM";3
"211260 URBANO SANTOS";1
"211290 VITORIA DO MEARIM";1
"211300 VITORINO FREIRE";1
"211400 ZE DOCA";1
"220020 AGUA BRANCA";2
"220040 ALTOS";4
"220050 AMARANTE";3
"220105 ASSUNCAO DO PIAUI";2
"220110 AVELINO LOPES";1
"220115 BAIXA GRANDE DO RIBEIRO";1
"220117 BARRA D'ALCANTARA";4
"220120 BARRAS";2
"220150 BATALHA";1
"220160 BENEDITINOS";6
"220170 BERTOLINIA";1
"220173 BETANIA DO PIAUI";1
"220177 BOA HORA";1
"220180 BOCAINA";1
"220190 BOM JESUS";9
"220202 BURITI DOS MONTES";2
"220205 CABECEIRAS DO PIAUI";1
"220208 CAJUEIRO DA PRAIA";1
"220220 CAMPO MAIOR";3
"220230 CANTO DO BURITI";2
"220245 CAPITAO GERVASIO OLIVEIRA";1
"220260 CASTELO DO PIAUI";2
"220271 COCAL DE TELHA";1
"220300 CRISTALANDIA DO PIAUI";1
"220320 CURIMATA";1
"220325 CURRALINHOS";4
"220335 DIRCEU ARCOVERDE";1
"220350 ELESBAO VELOSO";3
"220370 ESPERANTINA";2
"220385 FLORESTA DO PIAUI";1
"220390 FLORIANO";10
"220430 FRONTEIRAS";2
"220450 GUADALUPE";1
"220460 HUGO NAPOLEAO";1
"220470 INHUMA";2
"220500 ITAINOPOLIS";1
"220520 JAICOS";1
"220527 JATOBA DO PIAUI";1
"220530 JERUMENHA";1
"220540 JOAQUIM PIRES";2
"220555 LAGOA ALEGRE";1
"220557 LAGOA DE SAO FRANCISCO";1
"220580 LUZILANDIA";2
"220585 MADEIRO";1
"220590 MANOEL EMIDIO";1
"220620 MIGUEL ALVES";11
"220640 MONSENHOR GIL";2
"220650 MONSENHOR HIPOLITO";3
"220660 MONTE ALEGRE DO PIAUI";1
"220672 NAZARIA";1
"220680 NOSSA SENHORA DOS REMEDIOS";1
