"NOME_ESTACAO";"NOME_MUNIC";"UF";"ACETAL MED";"ACETAL DP";"BEN MED";"BEN DP";"BTEX MED";"BTEX DP";"CH MED";"CH DP";"CH4 MED";"CH4 DP";"CHO MED";"CHO DP";"CO MED";"CO DP";"COV MED";"COV DP";"DV MED";"DV DP";"ERT MED";"ERT DP";"Etil Benz MED";"Etil Benz DP";"FMC MED";"FMC DP";"FORMAL MED";"FORMAL DP";"H2S MED";"H2S DP";"HCT MED";"HCT DP";"HCnM MED";"HCnM DP";"M e P Xileno MED";"M e P Xileno DP";"MP10 MED";"MP10 DP";"MP2,5 MED";"MP2,5 DP";"NH3 MED";"NH3 DP";"NO MED";"NO DP";"NO2 MED";"NO2 DP";"NOx MED";"NOx DP";"O3 MED";"O3 DP";"Orto Xil MED";"Orto Xil DP";"PRESS MED";"PRESS DP";"PTS MED";"PTS DP";"Pb MED";"Pb DP";"RAD MED";"RAD DP";"SO2 MED";"SO2 DP";"SOx MED";"SOx DP";"TEMP MED";"TEMP DP";"TOL MED";"TOL DP";"U MED";"U DP";"UR MED";"UR DP";"VV MED";"VV DP";"XIL MED";"XIL DP"
 Barra Longa Centro;Barra Longa;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.8378;28.8916;11.8577;52.4523;;;;;;;;;;;;;;;78.4027;73.8581;;;;;;;;;;;;;;;;;;;;
 Comunidade do Feijão;Brumadinho;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.5816;24.5674;4.15973;7.97959;;;;;;;;;;;;;;;45.4283;46.3288;;;;;;;;;;;;;;;;;;;;
 Gesteira;Barra Longa;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.2847;28.3255;6.59263;9.80292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Matriz;Congonhas;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.262;26.654;15.3318;20.0771;;;;;;;;;;;;;;;34.4048;23.4217;;;;;;;;;;;;;;;;;;;;
 Motas;Ouro Preto;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.9772;19.7232;;;;;;;;;;;;;;;;;51.571;36.9519;;;;;;;;;;;;;;;;;;;;
 Novo Soberbo;Santa Cruz do Escalvado;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.068;24.1608;6.92399;6.96536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Paracatu de Baixo;Mariana;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.9759;26.4627;10.5913;14.268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Pires;Congonhas;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.6687;57.3695;;;;;;;;;;;;;;;;;75.1536;60.8464;;;;;;;;;;;;;;;;;;;;
 Rio Doce;Rio Doce;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.7175;24.236;9.93937;13.3774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Santana do Deserto;Rio Doce;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.9113;26.0868;6.80919;9.97184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
