"COD_MUNIC";"NOTIFICACOES"
"110004";7
"110012";2
"110018";3
"110020";13
"110030";3
"110037";1
"110080";1
"110094";8
"110140";4
"110147";5
"110148";2
"120025";1
"120033";3
"120040";7
"130014";1
"130030";2
"130040";3
"130060";1
"130110";3
"130185";15
"130190";1
"130200";1
"130260";10
"130310";1
"130330";1
"130420";13
"130430";1
"140010";19
"140047";1
"150060";2
"150080";1
"150085";3
"150140";8
"150178";1
"150215";4
"150270";11
"150304";1
"150442";2
"150543";1
"150610";1
"150613";5
"150680";2
"150780";1
"150810";22
"150840";1
"160030";30
"170130";2
"170210";407
"170215";3
"170255";3
"170300";2
"170330";1
"170382";7
"170388";3
"170550";1
"170650";3
"170700";1
"170710";1
"170930";4
"170950";3
"171090";1
"171320";2
"171380";1
"171420";1
"171430";1
"171488";2
"171510";1
"171575";1
"171650";1
"171665";1
"171720";7
"171780";1
"171855";1
"172080";10
"172100";25
"172120";3
"172208";1
"172210";2
"210010";1
"210060";1
"210300";5
"210405";2
"210455";3
"210530";10
"210640";1
"210720";1
"210860";1
"211105";1
"211120";5
"211130";6
"211220";1
"220390";1
"220550";1
"220556";1
"220840";2
"221040";4
"221100";1
"230100";2
"230110";22
"230240";3
"230310";6
"230340";10
"230350";14
"230410";3
"230425";1
"230427";1
"230440";35
"230500";3
"230523";29
"230620";1
"230625";1
"230730";9
"230760";2
"230765";11
"230790";1
"230800";1
"230870";4
"231080";5
"231140";27
"231150";1
"231180";16
"231230";1
"231260";1
"231270";1
"231290";18
"231340";26
"231360";4
"231410";4
"240100";1
"240200";7
"240230";1
"240450";1
"240610";1
"240700";1
"240800";10
"240810";44
"241230";1
"241260";1
"241415";1
"241420";1
"241490";1
"250320";4
"250400";6
"250750";12
"250860";1
"251080";11
"251370";1
"251380";1
"251630";1
"251670";1
"260040";1
"260140";3
"260190";1
"260220";1
"260290";138
"260345";2
"260450";4
"260600";2
"260720";3
"260790";9
"260805";4
"260875";1
"260960";1
"261070";1
"261110";7
"261140";2
"261160";14
"261190";1
"261240";1
"261250";2
"261340";1
"270030";14
"270140";4
"270240";6
"270430";39
"270500";1
"270630";3
"270642";1
"270730";1
"270810";1
"270860";1
"270930";1
"280030";22
"280120";4
"280350";5
"280420";1
"280550";2
"290070";7
"290090";1
"290110";1
"290190";1
"290260";1
"290290";1
"290320";6
"290340";2
"290370";7
"290390";1
"290395";8
"290405";3
"290430";1
"290450";1
"290520";6
"290540";1
"290570";22
"290800";1
"290840";9
"291080";11
"291120";1
"291230";2
"291280";1
"291320";2
"291345";2
"291360";2
"291470";42
"291480";5
"291490";1
"291640";1
"291685";1
"291700";1
"291740";1
"291750";5
"291800";10
"291840";8
"291880";1
"291905";1
"291955";2
"292050";4
"292080";2
"292110";15
"292260";6
"292265";1
"292490";1
"292525";1
"292575";1
"292590";1
"292650";2
"292680";3
"292740";95
"292800";2
"292830";1
"292850";1
"292870";23
"292937";1
"292950";1
"293010";2
"293110";1
"293120";2
"293135";22
"293200";1
"293320";1
"293325";1
"293330";21
"293345";1
"310050";1
"310070";1
"310100";1
"310110";1
"310170";3
"310190";1
"310260";17
"310280";2
"310320";3
"310330";3
"310350";1
"310400";32
"310450";2
"310480";2
"310510";2
"310560";34
"310590";2
"310620";248
"310670";345
"310690";1
"310730";2
"310790";11
"310830";4
"310850";2
"310855";6
"310860";1
"310880";3
"310900";14
"310920";1
"310980";2
"311020";1
"311060";1
"311090";1
"311120";2
"311150";1
"311180";2
"311200";11
"311230";8
"311250";3
"311300";1
"311320";1
"311330";4
"311370";1
"311390";1
"311450";2
"311455";3
"311490";1
"311530";1
"311570";1
"311600";2
"311610";6
"311620";1
"311730";1
"311760";1
"311820";1
"311860";195
"311890";2
"311910";1
"311920";6
"311970";2
"312000";1
"312030";1
"312050";1
"312087";1
"312090";54
"312125";1
"312160";1
"312240";1
"312300";1
"312320";1
"312330";1
"312380";3
"312410";8
"312430";1
"312440";3
"312450";1
"312510";3
"312600";1
"312610";1
"312630";1
"312660";5
"312720";3
"312770";15
"312790";2
"312810";1
"312825";4
"312850";2
"312870";1
"312890";2
"312930";1
"312950";1
"312980";3
"313010";2
"313050";1
"313055";2
"313060";2
"313065";1
"313080";1
"313090";2
"313100";1
"313110";1
"313115";1
"313130";9
"313170";1
"313220";1
"313240";11
"313250";1
