COD_MUNIC;NOTIFICACOES
110010;4
110020;42
120010;5
120020;1
120040;108
120070;1
130170;2
130250;5
130260;172
130406;3
130420;2
140010;22
150010;1
150080;97
150130;11
150140;549
150170;3
150180;2
150190;1
150210;2
150215;1
150240;31
150270;2
150290;10
150330;2
150442;19
150530;2
150553;9
150613;7
150618;1
150620;5
150635;3
150650;1
150680;6
150700;2
150795;2
150800;1
150810;13
160030;15
160060;1
170210;10
170550;1
170820;4
170950;6
172100;33
210005;2
210530;4
210910;7
211130;105
220190;11
221100;88
230370;1
230440;72
231130;2
240200;2
240325;17
240580;2
240800;8
240810;237
241120;2
241150;1
250370;1
250400;4
250750;19
251370;1
260140;1
260410;4
260600;1
260790;1
260960;4
261160;180
270430;42
280030;25
290070;2
290320;1
290390;1
290810;1
291010;1
291060;1
291080;18
291170;10
291340;2
291480;8
291733;1
291800;1
291915;1
291920;7
292530;4
292660;1
292740;261
292870;1
293010;1
293135;6
293260;1
293330;9
310010;1
310150;1
310160;25
310200;1
310230;10
310260;1
310280;1
310340;1
310350;5
310375;1
310400;6
310430;1
310490;1
310560;17
310620;983
310670;89
310690;1
310710;2
310740;3
310750;1
310840;2
310870;1
311000;1
311030;1
311060;4
311100;2
311120;1
311150;1
311180;1
311300;1
311320;1
311330;4
311340;5
311370;2
311430;2
311440;1
311530;8
311660;1
311710;2
311730;2
311800;2
311830;14
311840;1
311860;122
311930;1
311940;4
312080;1
312090;1
312120;1
312140;1
312160;2
312190;1
312230;13
312360;2
312390;2
312410;1
312490;1
312510;7
312595;1
312610;4
312700;1
312710;3
312770;4
312800;1
312870;3
312940;2
312950;1
312970;1
313070;1
313090;1
313120;1
313130;7
313170;9
313190;2
313220;1
313240;2
313270;2
313290;1
313310;1
313340;3
313350;1
313360;1
313375;1
313380;8
313420;17
313460;2
313510;1
313520;1
313620;8
313665;1
313670;22
313760;1
313780;1
313820;15
313840;1
313850;1
313860;2
313900;1
313940;2
313950;1
314000;1
314110;2
314190;1
314210;1
314280;3
314310;4
314330;17
314340;3
314390;2
314410;1
314460;1
314480;35
314530;16
314535;1
314560;4
314590;1
314600;1
314670;2
314700;1
314710;2
314730;1
314790;3
314800;11
314810;6
314820;2
314890;1
314930;4
314950;1
314990;1
315120;3
315140;2
315150;2
315180;46
315210;4
315250;14
315310;1
315400;1
315460;5
315580;2
315600;1
315670;9
315690;5
315720;1
315780;2
315840;1
315960;1
316040;3
316130;1
316190;2
316210;1
316250;8
316280;3
316290;3
316370;8
316447;1
316470;5
316553;3
316620;1
316720;18
316860;7
316870;3
316930;5
316935;1
316940;28
316990;22
317010;28
317020;46
317040;1
317070;20
317120;5
317130;9
317170;1
317200;5
320120;7
320130;2
320140;2
320150;1
320240;1
320280;3
320320;8
320330;1
320332;2
320340;6
320455;1
320460;2
320470;1
320490;1
320500;36
320520;7
320530;40
330010;30
330020;8
330022;6
330023;1
330025;2
330030;6
330040;4
330045;1
330060;12
330070;2
330080;7
330093;6
330100;142
330130;3
330150;10
330170;326
330185;1
330190;1
330200;1
330220;12
330227;3
330240;98
330250;12
330260;2
330270;10
330285;4
330320;35
330330;196
330340;27
330350;86
330385;4
330390;82
330395;1
330400;20
330410;2
330411;14
330415;8
330420;21
330430;29
330452;13
330455;1733
330470;1
330475;8
330490;142
330510;5
330520;2
330580;16
330600;2
330610;12
330620;8
330630;36
350010;23
350030;1
350070;5
350115;1
350160;21
350170;4
350190;10
350210;15
350250;2
350260;1
350270;1
350275;1
350280;17
350320;11
350330;27
350400;25
350410;18
350420;4
350450;17
350520;45
350530;14
350550;39
350570;17
350590;4
350600;104
350610;25
350635;3
350650;5
350700;8
350740;1
350750;29
350760;21
350790;1
350810;6
350850;18
350870;2
350900;9
350920;3
350945;1
350950;264
350960;2
350970;49
351000;3
351020;43
351040;3
351050;6
351060;9
351080;5
351110;76
351170;2
351220;12
351230;2
351300;26
351340;3
351350;8
351380;45
351390;1
351410;20
351440;12
351500;5
351518;2
351520;1
351540;5
351550;8
351570;11
351600;3
351620;49
351630;5
351640;4
351740;5
351770;1
351820;18
351840;49
351870;2
351880;121
351890;5
351907;5
351910;5
351925;2
351960;4
352000;20
352040;9
352044;6
352050;11
352170;1
352180;5
352220;32
352230;71
352240;103
352250;13
352260;4
352270;3
352280;14
352290;4
352310;10
352320;1
352340;32
352350;2
352390;34
