"COD_MUNIC";"AGROTOXICO_AGRICOLA";"AGROTOXICO_DOMESTICO";"AGROTOXICO_SAUDE_PUBLICA";"RATICIDA";"PROD_QUIMICO";"METAL";"TOTAL"
"110001";109;16;3;22;11;-;161
"110002";44;32;1;68;30;2;177
"110003";3;-;-;1;-;-;4
"110004";96;16;2;36;22;-;172
"110005";13;1;-;7;3;-;24
"110006";15;3;-;2;-;-;20
"110007";4;-;-;-;-;-;4
"110008";5;-;-;4;-;-;9
"110009";25;5;1;6;27;-;64
"110010";7;3;-;3;3;-;16
"110011";28;8;-;13;8;1;58
"110012";110;36;13;53;19;3;234
"110013";9;5;-;7;3;-;24
"110014";98;10;-;8;3;-;119
"110015";9;4;-;4;4;-;21
"110018";19;4;-;9;39;-;71
"110020";30;25;25;115;48;1;244
"110025";12;-;-;4;3;-;19
"110026";5;1;-;-;-;-;6
"110028";92;22;2;29;32;1;178
"110029";48;5;1;5;1;-;60
"110030";165;58;6;120;42;5;396
"110032";35;12;-;3;6;-;56
"110033";20;3;-;2;1;-;26
"110034";32;2;-;13;1;-;48
"110037";50;3;-;3;2;-;58
"110040";21;4;-;4;2;-;31
"110045";65;14;7;19;1;1;107
"110050";16;1;-;2;-;-;19
"110060";4;4;-;3;1;-;12
"110070";13;4;-;2;2;-;21
"110080";3;-;-;3;1;-;7
"110090";11;3;-;2;2;-;18
"110092";12;-;-;6;1;-;19
"110094";15;1;-;4;1;-;21
"110100";4;-;-;1;2;-;7
"110110";14;2;-;6;5;-;27
"110120";11;-;1;1;1;-;14
"110130";21;4;-;2;7;-;34
"110140";49;29;-;7;7;-;92
"110143";15;1;-;2;-;-;18
"110145";17;2;-;1;-;-;20
"110146";4;-;-;-;1;-;5
"110147";17;2;-;4;2;-;25
"110148";4;-;-;1;-;-;5
"110149";70;15;2;19;5;-;111
"110150";11;2;-;-;-;-;13
"110155";5;1;-;-;-;-;6
"110160";4;-;-;-;1;-;5
"110170";22;2;-;-;-;-;24
"110175";8;1;-;1;-;-;10
"110180";6;-;-;1;-;1;8
"120001";20;1;-;3;1;-;25
"120010";33;7;-;8;23;-;71
"120013";1;4;-;4;-;1;10
"120017";5;1;-;1;-;-;7
"120020";6;9;1;22;10;-;48
"120025";10;1;-;3;13;1;28
"120030";1;1;-;1;2;-;5
"120034";7;1;-;-;-;-;8
"120035";1;-;-;1;-;-;2
"120038";10;7;-;6;4;-;27
"120040";63;37;4;105;71;3;283
"120042";1;1;-;5;1;-;8
"120043";-;1;-;-;-;-;1
"120045";43;6;1;7;7;1;65
"120050";13;4;1;6;5;-;29
"120060";-;-;-;-;2;-;2
"120070";16;7;1;3;3;-;30
"120080";6;2;-;1;-;-;9
"130002";-;-;3;2;11;1;17
"130014";102;33;2;10;6;-;153
"130020";-;-;-;1;2;-;3
"130030";-;-;-;-;4;-;4
"130050";-;-;-;1;1;-;2
"130060";2;2;-;12;1;-;17
"130063";-;1;-;-;-;-;1
"130068";-;-;-;-;1;-;1
"130070";2;-;-;1;-;-;3
"130080";2;1;-;2;1;-;6
"130090";1;-;-;-;6;-;7
"130100";1;2;2;1;1;-;7
"130110";-;1;-;1;-;-;2
"130115";2;-;-;-;-;-;2
"130130";-;1;-;-;-;-;1
"130140";2;-;-;3;1;-;6
"130150";-;-;15;1;-;-;16
"130165";1;1;-;1;-;-;3
"130170";3;1;1;3;2;8;18
"130180";1;-;-;-;-;-;1
"130185";38;6;-;1;45;-;90
"130190";20;56;5;60;60;2;203
"130200";-;-;-;1;-;-;1
"130240";2;-;-;1;2;-;5
"130250";10;12;-;16;11;1;50
"130260";11;64;3;146;173;6;403
"130270";2;1;-;1;-;-;4
"130290";-;1;-;-;1;-;2
"130300";-;1;-;-;-;-;1
"130310";-;-;-;-;1;-;1
"130320";2;-;-;1;-;-;3
"130330";6;2;-;-;-;-;8
"130340";9;9;-;11;6;-;35
"130353";4;3;-;2;-;-;9
"130356";4;1;-;7;4;1;17
"130400";1;-;-;-;-;-;1
"130406";8;2;-;13;4;1;28
"130420";6;6;1;14;2;-;29
"130426";-;-;-;1;-;-;1
"130430";-;-;-;-;1;-;1
"130440";1;1;-;-;-;-;2
"140002";4;-;2;4;1;1;12
"140005";18;4;10;7;6;31;76
"140010";51;86;60;303;190;3;693
"140015";11;2;2;-;1;-;16
"140017";9;1;-;8;4;-;22
"140020";9;7;2;11;6;-;35
"140023";35;5;1;2;-;-;43
"140028";6;2;-;3;1;73;85
"140030";20;2;1;7;6;-;36
"140040";-;3;-;-;1;-;4
"140045";5;1;-;2;2;1;11
"140047";30;3;-;11;6;-;50
"140050";10;9;12;7;2;-;40
"140060";3;-;-;2;2;-;7
"150010";5;1;6;8;31;3;54
"150013";2;1;-;-;1;-;4
"150020";18;-;-;2;1;-;21
"150030";1;-;2;1;2;-;6
"150034";7;2;-;-;2;-;11
"150040";2;-;-;-;-;-;2
"150050";-;-;-;-;1;-;1
"150060";9;4;1;15;4;1;34
"150080";2;1;1;8;5;-;17
"150085";1;1;-;-;1;-;3
"150090";2;-;-;1;2;-;5
"150095";2;-;-;-;-;-;2
"150100";-;-;-;1;-;-;1
"150110";-;-;1;-;-;-;1
"150120";1;-;-;2;-;-;3
"150125";20;4;-;1;3;-;28
"150130";-;-;10;1;208;-;219
"150140";17;5;3;135;39;4;203
"150145";50;1;-;-;7;-;58
"150150";1;-;-;-;7;-;8
"150157";-;2;-;1;-;-;3
"150160";24;1;-;1;-;-;26
"150170";4;2;-;13;3;-;22
"150172";44;5;-;3;2;-;54
"150175";4;-;-;-;-;-;4
"150178";9;3;1;4;2;-;19
"150180";-;1;2;1;-;-;4
"150190";4;-;-;1;-;-;5
"150200";-;-;-;-;1;-;1
"150210";1;1;-;1;2;-;5
"150215";3;4;-;7;4;-;18
"150220";6;5;-;9;3;-;23
"150230";4;2;-;5;-;-;11
"150240";17;16;-;23;21;2;79
"150250";1;3;-;-;-;-;4
"150260";-;-;1;-;-;-;1
"150270";19;20;5;7;26;-;77
"150275";2;-;-;-;1;-;3
"150276";1;-;1;-;-;-;2
"150277";3;1;-;1;-;1;6
"150280";-;1;-;-;-;-;1
"150285";2;-;-;-;-;-;2
"150290";8;3;-;2;4;-;17
"150293";3;-;-;-;-;-;3
"150295";23;6;-;2;8;-;39
"150304";14;2;-;5;1;-;22
"150307";4;-;-;1;-;-;5
"150309";8;-;-;7;2;-;17
