COD_MUNIC;AGROTOXICO_AGRICOLA;AGROTOXICO_DOMESTICO;AGROTOXICO_SAUDE_PUBLICA;RATICIDA;PROD_QUIMICO;METAL
110001;109;16;3;22;11;
110002;44;32;1;68;30;2
110003;3;;;1;;
110004;96;16;2;36;22;
110005;13;1;;7;3;
110006;15;3;;2;;
110007;4;;;;;
110008;5;;;4;;
110009;25;5;1;6;27;
110010;7;3;;3;3;
110011;28;8;;13;8;1
110012;110;36;13;53;19;3
110013;9;5;;7;3;
110014;98;10;;8;3;
110015;9;4;;4;4;
110018;19;4;;9;39;
110020;30;25;25;115;48;1
110025;12;;;4;3;
110026;5;1;;;;
110028;92;22;2;29;32;1
110029;48;5;1;5;1;
110030;165;58;6;120;42;5
110032;35;12;;3;6;
110033;20;3;;2;1;
110034;32;2;;13;1;
110037;50;3;;3;2;
110040;21;4;;4;2;
110045;65;14;7;19;1;1
110050;16;1;;2;;
110060;4;4;;3;1;
110070;13;4;;2;2;
110080;3;;;3;1;
110090;11;3;;2;2;
110092;12;;;6;1;
110094;15;1;;4;1;
110100;4;;;1;2;
110110;14;2;;6;5;
110120;11;;1;1;1;
110130;21;4;;2;7;
110140;49;29;;7;7;
110143;15;1;;2;;
110145;17;2;;1;;
110146;4;;;;1;
110147;17;2;;4;2;
110148;4;;;1;;
110149;70;15;2;19;5;
110150;11;2;;;;
110155;5;1;;;;
110160;4;;;;1;
110170;22;2;;;;
110175;8;1;;1;;
110180;6;;;1;;1
120001;20;1;;3;1;
120010;33;7;;8;23;
120013;1;4;;4;;1
120017;5;1;;1;;
120020;6;9;1;22;10;
120025;10;1;;3;13;1
120030;1;1;;1;2;
120034;7;1;;;;
120035;1;;;1;;
120038;10;7;;6;4;
120040;63;37;4;105;71;3
120042;1;1;;5;1;
120043;;1;;;;
120045;43;6;1;7;7;1
120050;13;4;1;6;5;
120060;;;;;2;
120070;16;7;1;3;3;
120080;6;2;;1;;
130002;;;3;2;11;1
130014;102;33;2;10;6;
130020;;;;1;2;
130030;;;;;4;
130050;;;;1;1;
130060;2;2;;12;1;
130063;;1;;;;
130068;;;;;1;
130070;2;;;1;;
130080;2;1;;2;1;
130090;1;;;;6;
130100;1;2;2;1;1;
130110;;1;;1;;
130115;2;;;;;
130130;;1;;;;
130140;2;;;3;1;
130150;;;15;1;;
130165;1;1;;1;;
130170;3;1;1;3;2;8
130180;1;;;;;
130185;38;6;;1;45;
130190;20;56;5;60;60;2
130200;;;;1;;
130240;2;;;1;2;
130250;10;12;;16;11;1
130260;11;64;3;146;173;6
130270;2;1;;1;;
130290;;1;;;1;
130300;;1;;;;
130310;;;;;1;
130320;2;;;1;;
130330;6;2;;;;
130340;9;9;;11;6;
130353;4;3;;2;;
130356;4;1;;7;4;1
130400;1;;;;;
130406;8;2;;13;4;1
130420;6;6;1;14;2;
130426;;;;1;;
130430;;;;;1;
130440;1;1;;;;
140002;4;;2;4;1;1
140005;18;4;10;7;6;31
140010;51;86;60;303;190;3
140015;11;2;2;;1;
140017;9;1;;8;4;
140020;9;7;2;11;6;
140023;35;5;1;2;;
140028;6;2;;3;1;73
140030;20;2;1;7;6;
140040;;3;;;1;
140045;5;1;;2;2;1
140047;30;3;;11;6;
140050;10;9;12;7;2;
140060;3;;;2;2;
150010;5;1;6;8;31;3
150013;2;1;;;1;
150020;18;;;2;1;
150030;1;;2;1;2;
150034;7;2;;;2;
150040;2;;;;;
150050;;;;;1;
150060;9;4;1;15;4;1
150080;2;1;1;8;5;
150085;1;1;;;1;
150090;2;;;1;2;
150095;2;;;;;
150100;;;;1;;
150110;;;1;;;
150120;1;;;2;;
150125;20;4;;1;3;
150130;;;10;1;208;
150140;17;5;3;135;39;4
150145;50;1;;;7;
150150;1;;;;7;
150157;;2;;1;;
150160;24;1;;1;;
150170;4;2;;13;3;
150172;44;5;;3;2;
150175;4;;;;;
150178;9;3;1;4;2;
150180;;1;2;1;;
150190;4;;;1;;
150200;;;;;1;
150210;1;1;;1;2;
150215;3;4;;7;4;
150220;6;5;;9;3;
150230;4;2;;5;;
150240;17;16;;23;21;2
150250;1;3;;;;
150260;;;1;;;
150270;19;20;5;7;26;
150275;2;;;;1;
150276;1;;1;;;
150277;3;1;;1;;1
150280;;1;;;;
150285;2;;;;;
150290;8;3;;2;4;
150293;3;;;;;
150295;23;6;;2;8;
150304;14;2;;5;1;
150307;4;;;1;;
150309;8;;;7;2;
150320;13;4;;4;2;
150330;1;;;1;;
150340;7;2;;;2;
150345;12;2;225;1;4;
150350;8;2;18;4;8;
150360;8;6;;41;6;199
150370;6;;;5;3;
150375;2;1;;3;;
150380;4;;;8;;
150390;;1;;;;
150405;2;1;;;1;
150410;1;2;;;2;
150420;62;55;4;117;104;
150430;4;;;;2;
150440;1;;;1;1;
150442;;1;;3;2;
150445;7;1;;2;;
150460;1;2;;1;;
150470;7;2;;4;2;
150475;3;1;;1;1;
150480;28;1;;;;
150490;1;;;1;;
150495;7;;;1;;
150497;;1;;2;;
150500;;;;1;1;
150503;11;10;;16;5;1
150506;34;10;1;9;1;
150510;;1;;2;;
150530;3;3;;1;1;
150540;1;;;;;
150543;12;;;3;;1
150548;5;1;;8;1;
150549;2;;;1;;
150550;59;10;19;35;31;
150553;29;8;;15;31;
150555;1;1;;;;
150560;9;;;;2;
150563;36;12;;10;4;
150565;6;6;;11;;
150580;;;;;;2
150590;2;1;;4;;
150600;4;;;;1;
150610;;1;;;;
150611;;1;1;;3;
150613;17;1;;18;7;
150616;9;2;;3;1;
150618;6;1;;3;1;
150619;11;5;;6;1;
150620;;;;1;1;
150630;6;2;;;;
