COD_MUNIC;NOTIFICACOES
110001;3
110002;8
110004;267
110005;2
110006;1
110009;23
110010;2
110011;4
110012;23
110013;2
110015;25
110018;6
110020;687
110028;7
110029;2
110030;43
110032;1
110034;4
110050;2
110100;1
110120;1
110130;1
110149;1
110160;1
120001;1
120005;1
120010;3
120020;61
120025;1
120030;4
120032;1
120033;4
120039;1
120040;283
120042;1
120043;1
120060;1
130002;1
130006;1
130010;1
130014;1
130020;2
130030;3
130040;2
130060;5
130063;1
130070;1
130080;1
130100;2
130110;1
130115;1
130120;9
130130;1
130140;9
130150;4
130160;2
130165;2
130170;4
130185;2
130190;1
130195;1
130210;1
130220;1
130240;7
130250;3
130260;2589
130270;1
130280;1
130290;6
130310;3
130320;3
130330;1
130340;19
130350;3
130356;3
130360;2
130380;8
130395;1
130406;18
130410;3
130420;10
140010;371
150010;8
150020;7
150030;1
150040;5
150050;1
150060;154
150070;7
150080;17
150090;2
150095;3
150110;2
150120;1
150130;32
150140;5631
150145;1
150150;5
150170;10
150172;2
150178;1
150180;51
150210;34
150215;6
150220;11
150240;18
150250;2
150260;5
150270;5
150280;6
150295;1
150304;2
150307;1
150345;1
150360;10
150370;4
150375;4
150390;2
150400;4
150420;115
150440;2
150442;10
150445;3
150460;2
150470;5
150480;4
150490;19
150497;1
150503;14
150510;3
150520;2
150530;17
150543;7
150548;2
150550;31
150553;72
150580;1
150611;1
150613;121
150616;2
150650;5
150658;1
150670;4
150680;173
150720;9
150730;16
150740;1
150745;3
150747;4
150770;6
150790;1
150795;17
150797;1
150800;12
150803;1
150808;4
150810;114
150812;3
150815;2
150820;3
150830;3
150835;6
150840;11
160027;10
160030;211
160060;3
170210;604
170240;1
170255;14
170384;1
170550;7
170700;8
170830;1
170930;6
170950;74
170980;1
171050;1
171070;1
171245;1
171320;1
171500;1
171550;1
171610;17
171630;1
171700;1
171820;12
171845;1
172015;1
172080;1
172085;1
172090;2
172100;281
172120;1
172208;1
172210;1
210005;8
210015;1
210030;1
210050;1
210060;1
210070;2
210080;2
210095;1
210120;5
210140;59
210150;1
210160;14
210170;11
210180;1
210193;1
210200;1
210220;1
210232;2
210250;1
210255;1
210260;1
210270;1
210280;1
210300;47
210320;4
210325;1
210330;13
210340;10
210350;1
210360;18
210370;1
210375;2
210400;3
210405;2
210408;1
210409;3
210467;1
210480;6
210520;2
210530;181
210540;4
210560;1
210600;1
210610;1
210640;1
210650;2
210663;1
210670;2
210690;6
210710;1
210750;4
210780;4
210805;1
210810;1
210820;6
210845;2
210860;10
210910;49
210923;1
210930;1
210945;1
210950;1
210970;6
210990;6
211000;1
211027;1
211060;1
211070;2
211080;1
211100;1
211105;1
211110;1
211120;9
211130;1481
211160;6
211210;6
211220;18
211230;3
211260;1
211290;1
211300;1
211400;1
220020;2
220040;4
220050;3
220105;2
220110;1
220115;1
220117;4
220120;2
220150;1
220160;6
220170;1
220173;1
220177;1
220180;1
220190;9
220202;2
220205;1
220208;1
220220;3
220230;2
220245;1
220260;2
220271;1
220300;1
220320;1
220325;4
220335;1
220350;3
220370;2
220385;1
220390;10
220430;2
220450;1
220460;1
220470;2
220500;1
220520;1
220527;1
220530;1
220540;2
220555;1
220557;1
220580;2
220585;1
220590;1
220620;11
220640;2
220650;3
220660;1
220672;1
220680;1
220695;2
220700;16
220710;1
220770;28
220775;1
220779;1
220780;1
220790;4
220800;33
220810;2
220830;4
220840;7
220850;1
220855;1
220870;1
220880;3
220900;1
220950;1
220960;2
220980;6
220990;1
220995;1
220997;2
221000;5
221050;2
221060;2
221063;1
221100;5220
221110;3
221120;2
221130;1
221140;1
230015;5
230030;1
230070;1
230100;3
230110;5
230120;1
230140;1
230160;1
230185;3
230190;146
230195;1
230200;3
230210;8
230220;1
230250;12
230260;2
230280;2
230320;1
230330;1
230340;2
230350;1
230370;32
230393;3
230395;1
230410;21
230420;22
230423;1
230428;6
230430;1
230440;5469
230470;1
230500;1
230523;5
230533;2
230535;1
230540;4
230550;11
230590;3
230625;1
230640;6
230650;1
230655;2
230660;1
230690;2
230725;1
230730;57
230760;8
230763;1
230765;57
230780;2
230790;1
230810;2
230830;4
230835;1
230850;1
230910;1
230940;1
230945;3
230950;1
230960;6
230970;2
230980;4
231000;1
231030;1
231050;1
231060;1
231110;2
231130;6
231140;29
231150;1
231160;5
231170;4
231180;5
231190;1
231195;1
231230;1
231240;12
231290;652
231310;2
231320;2
231325;1
231330;1
231340;19
231350;1
231360;2
231400;2
240020;5
240030;1
240050;1
240100;1
240110;1
240140;1
240145;2
240150;1
240160;1
240170;2
240180;2
240200;4
240210;1
240220;2
240230;1
240240;3
240250;1
240260;4
240310;9
240325;30
240360;5
240420;2
240430;2
240440;1
240450;1
240470;1
240480;1
240530;1
240540;1
240580;2
240610;2
240620;1
240630;1
240670;1
240680;1
240700;1
240710;7
240720;2
240770;2
240780;1
240800;223
240810;1802
240820;1
240830;3
240890;3
240930;1
240940;5
240980;1
241010;1
241030;1
241090;2
241110;1
241120;6
241150;1
241180;1
241190;1
241200;4
241220;1
241230;2
241250;3
241255;2
241260;2
241280;1
241300;3
241330;2
241340;1
241370;1
241390;4
241400;2
241415;1
241440;5
241460;3
250053;1
250160;1
250215;1
250320;1
250370;29
250380;1
250400;366
250407;1
250430;2
250510;2
250600;1
250630;3
250750;743
250780;1
250800;1
250830;1
250860;1
250900;1
250910;1
250915;1
250939;2
251080;17
251130;2
251150;1
251160;1
251170;1
251203;1
251210;4
251230;1
251290;1
251310;1
251330;1
251340;1
251370;21
251500;1
251530;1
251600;1
251620;32
251630;1
251650;1
260005;15
260010;14
260030;1
260050;4
260070;14
260080;1
260100;1
260110;3
260120;20
260130;1
260140;2
260170;1
260190;5
260200;4
260220;3
260270;2
260280;1
260290;82
260300;2
260320;2
260345;6
260360;2
260380;2
260392;1
260400;5
260410;210
260415;1
260430;1
260440;6
260450;2
260460;2
260490;2
260520;10
260530;2
260570;12
260580;3
260590;2
260600;19
